,fuelexpn,hhcompx,gorEHS,FullincDeciles,FPEER,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts
0,1161.86,4,1,5,74.05,1,14157.04225,0,0,3417.0
1,1027.78,4,1,2,75.25,1,13383.33333,0,0,3750.0
2,1236.82,2,1,6,68.1,2,27883.0,0,0,0.0
3,1122.6,2,1,3,75.44,1,12576.0,0,0,3120.0
4,1054.66,1,1,9,72.9,1,34131.0,0,0,9000.0
5,793.9,7,1,2,68.94,1,16005.17241,0,0,2860.0
6,1004.03,1,1,6,51.89,3,22964.0,0,0,3000.0
7,1287.14,1,1,5,58.16,2,21396.0,0,0,3200.0
8,1185.5,3,1,7,72.15,1,19502.8169,0,0,5040.0
9,1359.93,2,1,5,64.32,2,23391.0,0,0,0.0
10,1290.77,2,1,7,56.86,2,34181.0,0,0,0.0
11,778.33,6,1,6,77.08,1,28834.48276,0,0,9000.0
12,1055.51,1,1,4,65.91,2,14098.0,0,0,4420.0
13,978.03,7,1,2,65.32,2,14394.82759,0,0,3120.0
14,969.77,6,1,1,67.75,2,5615.517241,1,1,3900.0
15,1379.73,4,1,4,66.39,2,10533.57143,0,0,5148.0
16,1383.71,4,1,4,68.43,2,13572.0,0,0,4472.0
17,1428.7,1,1,6,56.38,2,21248.0,0,0,4472.0
18,1272.72,6,1,5,51.7,3,39174.13793,0,0,0.0
19,1319.89,2,1,6,64.1,2,25128.0,0,0,0.0
20,1035.91,7,1,1,67.11,2,12637.93103,1,1,0.0
21,753.0,7,1,3,74.7,1,19827.58621,0,0,3675.0
22,1211.2,1,1,2,67.88,2,11125.0,0,0,3400.0
23,855.51,6,1,1,70.98,1,11862.06897,1,0,3332.0
24,2932.65,2,1,6,34.74,4,17502.11268,1,1,0.0
25,1217.24,3,1,6,69.91,1,16467.14286,0,0,4728.0
26,1175.12,1,1,5,62.6,2,23172.0,0,0,0.0
27,1327.94,3,1,5,70.57,1,13653.57143,0,0,3750.0
28,1247.39,3,1,2,69.26,1,7803.333333,0,0,3900.0
29,1093.93,6,1,1,49.29,3,19365.51724,0,0,0.0
30,668.72,7,1,3,77.79,1,19827.58621,0,0,3264.0
31,1258.57,2,1,5,59.61,2,18945.0,0,0,3640.0
32,1025.5,7,1,2,61.22,2,13718.96552,1,0,4080.0
33,946.95,7,1,1,68.01,2,18241.37931,0,0,0.0
34,1547.21,3,1,7,55.07,2,18397.00855,0,0,3433.846154
35,998.64,4,1,2,69.57,1,14105.0,0,0,0.0
36,1710.43,3,1,6,67.9,2,11101.5,0,0,3888.0
37,1388.81,1,1,5,66.82,2,9365.217391,0,0,4368.0
38,1104.98,1,1,6,75.15,1,17483.09859,0,0,3774.0
39,1311.18,6,1,1,53.24,3,7231.034483,1,1,0.0
40,1036.38,7,1,2,64.69,2,15874.13793,0,0,3900.0
41,1538.51,4,1,4,65.66,2,9179.012346,1,0,5100.0
42,1293.33,4,1,3,70.39,1,11869.38776,1,0,4740.0
43,1305.53,2,1,4,54.09,3,17453.0,0,0,3456.0
44,1573.51,1,2,7,57.54,2,31721.0,0,0,672.0
45,696.17,7,2,5,74.65,1,25960.34483,0,0,6708.0
46,1484.93,1,2,6,59.98,2,23884.0,0,0,4620.0
47,1421.42,3,2,5,64.74,2,11678.16901,0,0,4980.0
48,1099.01,7,2,1,58.02,2,14743.10345,1,1,0.0
49,1742.32,4,2,3,61.87,2,10965.30612,1,1,6000.0
50,537.52,7,2,3,82.22,1,18334.48276,0,0,4940.0
51,851.08,7,2,1,74.93,1,10415.51724,1,0,4420.0
