,fuelexpn,hhcompx,gorEHS,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts
0,1388.75,1,4,8,66.32,2,31376.0,0,0,7476.0
1,1053.63,4,7,3,65.6,2,10347.4359,1,0,10200.0
2,1078.57,3,5,5,75.53,1,8315.0,0,0,10320.0
3,1072.52,2,5,8,55.81,2,33459.84615,0,0,5296.153846
4,1139.03,1,6,3,60.04,2,9974.0,0,0,7140.0
5,1171.16,6,5,3,60.99,2,30068.96552,0,0,0.0
6,1263.22,1,5,3,62.67,2,15640.0,0,0,0.0
7,1138.12,2,8,7,64.21,2,36971.0,0,0,0.0
8,968.73,5,4,3,67.38,2,12434.0,0,0,4004.0
9,1323.45,2,7,1,63.56,2,10808.0,1,1,0.0
10,1821.0,3,6,5,62.09,2,9801.960784,0,0,5096.0
11,1417.49,3,4,7,64.54,2,20003.13187,0,0,4384.615385
12,848.16,2,5,3,64.0,2,13425.0,0,0,3380.0
13,622.41,6,8,8,67.05,2,41396.55172,0,0,13200.0
14,716.27,7,1,2,74.28,1,14108.62069,0,0,4472.0
15,3247.2,5,7,3,1.0,5,9453.0,1,1,5830.0
16,982.3,2,1,6,78.6,1,27342.0,0,0,0.0
17,920.6,6,10,1,71.96,1,6400.0,1,1,5200.0
18,1087.98,6,4,5,68.3,2,31044.82759,0,0,4608.0
19,904.4,1,9,7,74.02,1,21118.30986,0,0,6240.0
20,735.34,7,9,3,71.66,1,17568.96552,0,0,5350.0
21,1148.31,3,10,5,73.88,1,8573.913043,0,0,9724.0
22,1084.55,7,8,5,58.96,2,45548.27586,0,0,0.0
23,1933.51,5,10,9,63.8,2,33961.97183,0,0,0.0
24,1574.26,7,7,1,28.92,4,15337.93103,1,1,0.0
25,1217.08,1,8,10,64.92,2,70021.0,0,0,15600.0
26,1461.11,6,8,4,31.92,4,37739.65517,0,0,0.0
27,2371.4,4,10,4,3.56,5,8162.345679,1,1,8206.0
28,603.97,7,9,3,78.16,1,21793.10345,0,0,4212.0
29,865.09,7,6,2,72.98,1,14960.34483,0,0,4150.0
30,1167.39,2,2,3,70.35,1,17939.0,0,0,0.0
31,864.07,7,10,4,71.64,1,29963.7931,0,0,4320.0
32,1621.98,3,2,8,63.03,2,23218.75,0,0,3912.0
33,1454.71,5,10,7,62.68,2,34002.0,0,0,0.0
34,1350.12,3,8,9,53.37,3,34022.5,0,0,15600.0
35,2036.88,7,6,1,36.48,4,17389.65517,1,1,0.0
36,995.44,2,5,3,68.46,2,14065.0,0,0,3840.0
37,1450.11,3,9,2,68.75,1,1808.75,1,1,10200.0
38,942.52,7,1,3,68.26,2,22574.13793,0,0,3036.0
39,699.04,6,7,4,74.46,1,26170.68966,0,0,5520.0
40,1149.75,3,8,4,64.76,2,4342.142857,0,0,15000.0
41,1705.18,4,10,5,57.74,2,16447.45763,0,0,5200.0
42,1078.0,7,2,1,59.3,2,9168.965517,1,1,0.0
43,1147.2,5,2,5,73.27,1,20053.0,0,0,4784.0
44,1165.62,1,8,10,69.25,1,34744.56522,0,0,11868.0
45,1098.66,3,7,8,62.63,2,26033.33333,0,0,6720.0
46,1780.25,5,7,9,61.53,2,16976.31579,0,0,10512.0
47,1477.6,2,6,8,44.81,3,41455.0,0,0,0.0
48,1309.27,4,4,4,54.91,2,16108.0,0,0,4740.0
49,1063.05,1,7,7,67.4,2,27313.0,0,0,6455.0
50,1369.59,6,7,3,58.92,2,19022.41379,0,0,4800.0
51,819.13,2,4,3,78.38,1,13104.0,0,0,3744.0
52,1865.53,5,9,6,43.09,3,22510.0,0,0,6960.0
53,728.34,7,10,2,75.61,1,15603.44828,0,0,4108.0
54,1507.48,1,1,5,68.52,1,14666.19718,0,0,4940.0
55,1058.74,3,7,6,79.43,1,13370.37037,0,0,6432.0
56,921.7,7,4,2,65.09,2,19129.31034,0,0,3400.0
57,1398.57,7,6,6,49.36,3,47513.7931,0,0,0.0
58,842.91,3,8,6,70.07,1,16528.16901,0,0,5720.0
59,1035.95,7,9,5,63.83,2,45427.58621,0,0,0.0
60,942.36,2,10,7,77.46,1,36744.0,0,0,0.0
61,1529.36,1,8,6,61.1,2,4133.098592,0,0,22685.0
62,1235.37,4,1,5,66.32,2,24808.97436,0,0,4680.0
63,1581.61,1,4,9,59.3,2,49019.0,0,0,7800.0
64,820.56,7,5,3,68.42,2,26136.2069,0,0,0.0
65,939.85,1,9,7,63.84,2,26714.0,0,0,8400.0
66,790.14,7,2,3,69.71,1,29241.37931,0,0,0.0
67,1095.17,4,8,5,60.67,2,8976.923077,1,0,15548.0
68,1525.58,3,2,6,71.42,1,16079.28571,0,0,5150.0
69,954.23,7,1,2,72.91,1,14689.65517,1,0,4368.0
70,2273.5,3,9,6,53.45,3,978.125,0,0,27600.0
71,962.34,1,2,1,81.4,1,3413.0,1,0,6695.0
72,767.27,7,2,2,73.52,1,14486.2069,0,0,3328.0
73,1219.15,1,5,8,67.42,2,39575.0,0,0,0.0
74,762.83,6,2,9,75.68,1,92058.62069,0,0,120.0
75,1232.34,2,7,10,65.53,2,66434.0,0,0,0.0
76,676.41,7,6,3,74.69,1,19129.31034,0,0,5928.0
77,2477.67,3,10,6,42.49,3,15773.07692,0,0,0.0
78,1355.64,4,6,4,68.42,2,10742.14286,0,0,4680.0
79,1164.15,2,9,2,69.92,1,6420.0,0,0,7400.0
80,1543.58,3,6,10,60.79,2,54943.33333,0,0,0.0
81,982.76,6,9,2,63.1,2,14663.7931,1,0,4784.0
82,2096.65,3,10,3,64.17,2,1940.014152,1,1,11733.97453
83,916.58,7,6,2,59.2,2,16660.34483,0,0,4004.0
84,1272.36,7,7,4,57.01,2,32134.48276,0,0,0.0
85,1342.21,4,9,5,70.68,1,15600.83333,0,0,4992.0
86,975.0,1,10,4,64.2,2,11040.0,0,0,8340.0
87,1469.11,2,9,6,61.64,2,21564.78873,0,0,0.0
88,1335.35,3,6,10,74.64,1,46081.48148,0,0,10740.0
89,1342.12,2,9,7,59.87,2,21733.32082,0,0,14872.67918
90,760.31,7,9,3,73.82,1,14010.34483,0,0,7280.0
91,673.16,6,5,2,77.39,1,15874.13793,0,0,4800.0
92,1039.78,1,8,9,62.86,2,55559.0,0,0,0.0
93,1344.1,2,4,1,65.16,2,11180.0,1,1,0.0
94,962.49,7,10,3,70.63,1,19360.34483,0,0,4836.0
95,1101.65,7,1,2,63.72,2,20743.10345,0,0,0.0
96,1405.37,3,10,2,60.89,2,7715.833333,1,0,4992.0
97,1396.39,1,10,8,60.67,2,33361.0,0,0,7596.0
98,826.29,4,8,4,76.72,1,9750.0,0,0,7800.0
99,1756.51,2,5,10,51.25,3,88804.0,0,0,0.0
100,1301.07,4,6,5,66.2,2,19139.87441,0,0,3876.923077
101,1108.68,4,1,4,65.21,2,23984.61538,0,0,3180.0
102,1140.63,2,7,10,67.49,2,67520.0,0,0,0.0
103,1481.74,3,5,9,73.51,1,31847.14286,0,0,9000.0
104,1461.34,3,10,3,68.7,1,7586.25,0,0,4732.0
105,1896.53,2,10,8,40.21,3,41764.0422,0,0,2778.9578
106,1350.05,1,6,5,64.64,2,16273.0,0,0,7800.0
107,866.42,7,1,4,73.39,1,26012.06897,0,0,4320.0
108,666.5,7,5,2,72.45,1,15565.64987,0,0,4020.923077
109,653.5,7,2,5,77.51,1,39555.17241,0,0,0.0
110,1092.31,7,10,1,62.76,2,17724.13793,0,1,0.0
111,1330.54,2,2,5,55.98,2,24992.0,0,0,0.0
112,1071.69,5,6,5,73.03,1,18071.0,0,0,4600.0
113,1214.66,3,9,7,69.19,1,20252.5,0,0,9000.0
114,1371.05,3,6,3,61.09,2,11048.33333,0,0,5075.0
115,1196.92,3,7,8,67.73,2,31549.16667,0,0,1680.0
116,1406.71,5,8,3,65.26,2,8915.492958,0,0,3256.0
117,1783.37,2,7,6,53.19,3,21054.92958,0,0,0.0
118,1441.44,1,10,9,58.96,2,35238.0,0,0,12000.0
119,1393.93,3,4,9,66.63,2,33688.73239,0,0,8400.0
120,770.25,6,9,1,77.06,1,7172.413793,1,0,7280.0
