,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts
0,1230.82,4,5,5,71.2,1,14944.2029,0,0,4615.0
1,1222.34,1,2,8,70.67,1,29989.0,0,0,7680.0
2,797.66,7,4,6,62.14,2,42807.55968,0,0,3544.615385
3,870.35,2,8,6,72.62,1,24322.0,0,0,4000.0
4,1612.06,7,10,4,42.56,3,35974.13793,0,0,0.0
5,1000.67,6,2,1,53.15,3,-16100.0,1,1,9000.0
6,1204.84,3,2,8,70.6,1,25780.28169,0,0,1980.0
7,707.59,6,7,2,70.54,1,12717.24138,0,0,5148.0
8,1039.67,2,10,5,68.04,2,14458.4507,0,0,4416.0
9,892.81,7,6,7,66.58,2,58324.13793,0,0,0.0
10,1140.88,7,7,1,45.09,3,8774.137931,1,1,0.0
11,1406.96,1,4,10,66.26,2,52156.33803,0,0,0.0
12,655.59,7,8,3,76.83,1,19806.89655,0,0,6000.0
13,1406.57,5,4,2,63.71,2,9489.0,0,1,4233.0
14,1551.21,2,9,10,68.98,1,76296.0,0,0,0.0
15,938.93,5,10,6,65.31,2,23708.0,0,0,4300.0
16,1175.62,4,10,6,76.36,1,20837.7551,0,0,6900.0
17,764.27,7,4,3,72.1,1,25665.51724,0,0,3952.0
18,981.71,7,7,2,65.78,2,12503.44828,1,0,7200.0
19,846.21,6,5,3,62.24,2,25494.82759,0,0,2860.0
20,1007.3,6,4,3,73.8,1,28153.44828,0,0,0.0
21,969.55,6,4,2,57.86,2,16150.0,0,0,3927.0
22,1369.68,3,8,10,60.34,2,21775.4902,0,0,15548.0
23,661.25,6,7,5,75.93,1,24489.65517,0,0,10740.0
24,1018.94,4,8,4,66.3,2,12904.08163,0,0,8008.0
25,1333.03,1,10,5,57.04,2,18742.0,0,0,4440.0
26,1396.63,7,2,2,48.85,3,25232.75862,0,0,0.0
27,1145.04,4,8,4,77.59,1,9589.166667,0,0,8684.0
28,861.58,6,10,4,60.49,2,36696.55172,0,0,0.0
29,850.3,7,6,5,67.58,2,41310.34483,0,0,0.0
30,1018.86,2,2,9,67.81,2,44518.60243,0,0,5346.397568
31,1121.95,7,2,3,53.25,3,27567.24138,0,0,0.0
32,683.27,7,2,3,78.43,1,26410.34483,0,0,3744.0
33,1108.02,7,6,2,57.31,2,11567.24138,0,0,8040.0
34,1706.65,3,9,10,67.99,2,39536.41304,0,0,12000.0
35,1530.1,1,4,6,41.22,3,28267.0,0,0,0.0
36,1092.72,4,6,3,63.81,2,9896.0,0,0,5832.0
37,1151.73,7,1,1,54.68,2,8512.068966,1,1,0.0
38,1094.14,7,10,1,62.84,2,-6231.034483,1,1,7800.0
39,1452.89,5,6,3,68.74,1,6042.307692,1,0,5096.0
40,1078.57,5,8,10,69.77,1,48599.00496,0,0,19134.41296
