,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ_LILEE,fpflgb,fpflgf,HousingCosts
0,1140.19,2,4,3,60.1,2,17387.0,0,0,0.0
1,1635.19,2,6,9,60.55,2,42816.0,0,0,14400.0
2,1808.14,3,9,10,52.88,3,51848.33333,0,0,16200.0
3,1439.17,2,10,1,57.15,2,10536.0,1,1,0.0
4,689.93,1,10,6,72.64,1,22499.0,0,0,3796.0
5,2668.6,1,5,10,55.54,2,100000.0,0,0,0.0
6,1529.83,7,1,5,48.63,3,46817.24138,0,0,0.0
7,606.44,6,5,1,77.88,1,6544.827586,1,0,3650.0
8,1378.36,3,1,9,78.39,1,25946.25,0,0,10800.0
9,1092.91,4,9,4,68.1,2,22480.76923,0,0,6000.0
10,1068.19,2,10,4,66.99,2,13954.0,0,0,8160.0
11,1453.64,3,8,2,55.31,2,6400.0,0,0,6344.0
12,1669.12,2,1,8,68.26,2,22226.63043,0,0,4560.0
13,1610.1,5,8,10,62.96,2,32653.25203,0,0,7020.0
14,2544.69,2,9,10,66.96,2,71233.80282,0,0,0.0
15,1094.71,1,8,4,74.61,1,8325.76924,0,0,5448.584598
16,2155.73,2,4,5,47.35,3,26496.0,0,0,0.0
17,1216.29,3,2,3,73.19,1,8904.423077,0,0,4626.923077
18,2569.14,3,8,7,73.49,1,12463.39869,0,0,0.0
19,755.84,6,8,1,72.07,1,9324.137931,1,0,6032.0
20,747.31,6,5,7,78.8,1,49231.03448,0,0,7200.0
21,1140.56,6,9,4,45.97,3,21270.68966,0,0,8400.0
22,1727.22,3,10,9,62.63,2,28193.82716,0,0,10440.0
23,1229.6,1,2,10,62.28,2,90010.0,0,0,7992.0
24,1240.93,1,4,5,71.93,1,15221.12676,0,0,4056.0
25,1184.01,1,2,5,75.07,1,17616.0,0,0,6960.0
26,1955.32,4,7,7,62.74,2,27555.12821,0,0,11520.0
27,1708.45,1,6,10,62.24,2,47285.0,0,0,18000.0
28,998.56,5,8,6,82.1,1,16328.16901,0,0,9360.0
29,669.02,7,2,3,77.15,1,20896.55172,0,0,1080.0
30,1439.27,3,7,8,53.15,3,26851.43205,0,0,5627.995125
31,1035.3,1,2,1,70.54,1,5859.0,1,1,4108.0
32,1012.03,7,6,6,60.97,2,50217.24138,0,0,0.0
33,1254.66,1,7,10,61.0,2,41857.74648,0,0,15300.0
34,1232.06,3,8,9,74.92,1,22123.75,0,0,16500.0
35,1001.3,6,2,7,65.83,2,48327.58621,0,0,5340.0
36,1350.56,2,9,7,79.46,1,34922.0,0,0,0.0
37,734.13,7,6,1,77.96,1,6193.103448,0,0,3952.0
38,781.62,7,9,3,69.91,1,17013.7931,0,0,3640.0
39,934.39,5,2,4,71.97,1,15627.0,0,0,6600.0
40,925.15,6,6,2,72.99,1,19627.58621,0,0,3840.0
41,1216.6,3,10,5,73.77,1,7409.236972,0,0,9426.156578
42,1207.17,1,9,9,69.53,1,26694.02174,0,0,6180.0
43,747.28,7,5,4,71.88,1,28248.27586,0,0,3876.0
44,634.66,6,4,1,72.0,1,0.0,1,1,5100.0
45,1002.95,3,8,3,73.83,1,7754.320988,0,0,7176.0
46,1714.02,3,6,5,69.1,1,7600.0,0,0,4992.0
47,1163.81,5,8,4,65.49,2,13208.0,0,0,5460.0
48,1478.86,1,10,10,67.56,2,30847.88732,0,0,36000.0
49,822.91,7,2,2,71.5,1,20946.55172,0,0,3300.0
50,1121.15,2,4,1,74.25,1,8142.0,0,0,3984.0
51,1025.27,2,9,3,74.19,1,9192.0,0,0,4800.0
52,703.72,6,10,4,79.27,1,26636.2069,0,0,6228.0
53,1217.29,1,9,5,67.59,2,26445.0,0,0,0.0
54,653.97,6,1,1,74.04,1,5793.103448,0,0,3588.0
55,1396.8,3,7,4,77.82,1,6468.560606,0,0,4576.0
56,1977.73,2,10,10,68.87,1,100000.0,0,0,28200.0
57,1574.42,2,9,9,67.93,2,49322.0,0,0,0.0
58,1058.82,2,6,7,72.03,1,26923.0,0,0,2808.0
59,1599.54,3,4,10,73.04,1,58157.85714,0,0,16200.0
60,1106.68,1,7,7,68.62,1,27963.0,0,0,6048.0
61,1003.77,4,9,2,79.87,1,10532.0,0,0,5340.0
62,633.15,7,7,2,80.8,1,15479.10199,0,0,3197.120844
63,1598.42,3,10,6,58.95,2,20861.66667,0,0,7800.0
64,1062.88,7,9,2,63.41,2,14882.75862,1,0,6480.0
65,1446.16,5,9,9,68.5,2,26344.3662,0,0,10200.0
66,730.96,7,2,1,72.22,1,8612.068966,0,0,4800.0
67,1475.79,7,5,2,41.85,3,9931.034483,1,1,7680.0
68,972.3,5,8,6,79.29,1,6565.0,0,0,23904.0
69,853.68,7,5,1,53.68,3,6224.137931,1,1,4160.0
70,958.22,7,9,3,61.93,2,21544.82759,0,0,0.0
71,1346.24,2,6,3,51.26,3,19011.0,0,0,0.0
72,848.74,6,7,4,67.05,2,24531.03448,0,0,6600.0
73,1397.98,2,10,8,65.52,2,40079.0,0,0,0.0
74,1596.3,5,5,2,60.41,2,7866.0,1,1,5820.0
75,1569.08,6,5,2,54.28,3,4098.275862,1,1,4836.0
