,Unnamed: 0,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts,split
1,1,744.37,1,4,3,75.05,1,10844.0,0,0,6600.0,-0.5152772037120096
2,2,1133.07,1,4,8,76.06,1,32452.0,0,0,7200.0,0.7567580291789868
5,5,1477.04,6,8,1,39.36,3,4805.172414,1,1,0.0,-0.6677863503369692
6,6,1125.13,2,10,2,68.13,2,15826.0,0,0,0.0,0.037853237876267376
8,8,936.43,6,2,3,65.63,2,23444.82759,0,0,4680.0,-0.21311244394857945
9,9,1389.52,2,1,3,64.24,2,18138.0,0,0,0.0,-0.7557697948258258
10,10,1103.03,1,4,7,55.59,2,19797.88732,0,0,6300.0,2.212253001792117
11,11,842.12,7,8,3,65.74,2,18215.51724,0,0,5616.0,-1.029073778455008
13,13,2414.13,2,10,3,27.82,4,14065.0,1,1,2600.0,0.3073821732744594
14,14,687.78,6,5,3,74.89,1,23870.68966,0,0,4272.0,-0.7878208728619893
15,15,924.41,1,2,7,73.91,1,28892.0,0,0,5088.0,0.49816596056593343
17,17,1614.34,6,2,1,44.04,3,5415.517241,1,1,8400.0,-0.17634948995027006
18,18,1445.58,3,6,6,66.95,2,12992.85714,0,0,5400.0,-1.3082889434881861
20,20,1006.14,5,8,2,70.16,1,6720.0,1,0,5865.0,-0.47385349349926564
21,21,1559.48,2,8,8,52.8,3,42285.0,0,0,0.0,-0.6932035825071787
22,22,1297.32,4,9,1,60.94,2,6938.135593,1,1,0.0,0.36843871486490587
23,23,1069.02,1,6,4,70.5,1,11561.26761,0,0,4272.0,0.151417860027882
24,24,1352.46,3,6,4,62.76,2,8912.142857,0,0,9540.0,0.3202576936832878
25,25,785.83,6,4,1,72.98,1,9232.758621,0,0,3484.0,-0.06029629601427583
26,26,1316.63,4,9,5,75.02,1,12823.91304,0,0,5800.0,-0.43764266834164245
27,27,1255.95,3,7,3,63.83,2,7504.395604,0,0,4200.0,-1.1496455793160578
28,28,1290.18,1,7,9,65.12,2,48043.0,0,0,6240.0,-0.9464513079895269
29,29,1183.28,1,1,2,67.21,2,11160.0,0,0,4800.0,-0.34845377258978416
30,30,796.94,7,10,2,70.11,1,2082.758621,0,0,13320.0,-0.7841413985534019
31,31,956.97,4,8,5,77.27,1,20117.34694,0,0,7384.0,1.1747859227192257
32,32,987.12,2,1,4,69.75,1,17348.0,0,0,4080.0,1.8054093091219796
33,33,591.88,7,9,3,74.58,1,19808.62069,0,0,4784.0,-0.3922761154720501
34,34,1027.74,2,6,1,60.24,2,6165.0,0,0,5820.0,0.5965512254598716
35,35,766.85,6,4,5,67.07,2,36055.17241,0,0,4140.0,-0.10319959397044702
36,36,1077.8,7,1,1,66.62,2,4286.206897,1,1,4992.0,-0.31535374293119206
37,37,1347.39,3,2,8,68.56,1,25035.24038,0,0,4984.615385,1.535451652751651
