,Unnamed: 0,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ_LILEE,fpflgb,fpflgf,HousingCosts,split
0,0,1140.19,2,4,3,60.1,2,17387.0,0,0,0.0,0.8132536047037756
1,1,1635.19,2,6,9,60.55,2,42816.0,0,0,14400.0,0.5407254025793182
3,3,1439.17,2,10,1,57.15,2,10536.0,1,1,0.0,0.4658876048552545
5,5,2668.6,1,5,10,55.54,2,100000.0,0,0,0.0,0.28111876502112915
6,6,1529.83,7,1,5,48.63,3,46817.24138,0,0,0.0,-1.6430309311347564
8,8,1378.36,3,1,9,78.39,1,25946.25,0,0,10800.0,0.2420632212145108
10,10,1068.19,2,10,4,66.99,2,13954.0,0,0,8160.0,0.11240979375650205
12,12,1669.12,2,1,8,68.26,2,22226.63043,0,0,4560.0,0.16406277107149117
13,13,1610.1,5,8,10,62.96,2,32653.25203,0,0,7020.0,1.5431226786495342
14,14,2544.69,2,9,10,66.96,2,71233.80282,0,0,0.0,0.730100289561267
16,16,2155.73,2,4,5,47.35,3,26496.0,0,0,0.0,1.5716542848193698
17,17,1216.29,3,2,3,73.19,1,8904.423077,0,0,4626.923077,-0.7620339106527194
18,18,2569.14,3,8,7,73.49,1,12463.39869,0,0,0.0,0.9257842406666246
19,19,755.84,6,8,1,72.07,1,9324.137931,1,0,6032.0,1.439884677813535
20,20,747.31,6,5,7,78.8,1,49231.03448,0,0,7200.0,0.12881356100124988
21,21,1140.56,6,9,4,45.97,3,21270.68966,0,0,8400.0,-0.7813437374158871
22,22,1727.22,3,10,9,62.63,2,28193.82716,0,0,10440.0,-0.6816224262839785
23,23,1229.6,1,2,10,62.28,2,90010.0,0,0,7992.0,-0.8169580070719027
24,24,1240.93,1,4,5,71.93,1,15221.12676,0,0,4056.0,-0.5995286856589332
25,25,1184.01,1,2,5,75.07,1,17616.0,0,0,6960.0,2.06681830313363
26,26,1955.32,4,7,7,62.74,2,27555.12821,0,0,11520.0,-0.6825507509607057
27,27,1708.45,1,6,10,62.24,2,47285.0,0,0,18000.0,1.091006322457231
28,28,998.56,5,8,6,82.1,1,16328.16901,0,0,9360.0,-0.4409585791194991
29,29,669.02,7,2,3,77.15,1,20896.55172,0,0,1080.0,0.9679659016196651
30,30,1439.27,3,7,8,53.15,3,26851.43205,0,0,5627.995125,-0.13270283221631335
34,34,1232.06,3,8,9,74.92,1,22123.75,0,0,16500.0,-0.6502144606079675
