,aacode,fpLIHCflg,fpLIHCqdt,fpLIHCgapEQ,fpLIHCgapUNEQ,HousingCosts,AHCIncomeEQ,AHCeqFactor,BHCeqFactor,FuelCosteqFactor,fpbasinc,fpfullinc,fuelexpn,wathcost,spahcost,litecost,cookcost,elecmop,gasmop,fpflgb,fpflgf,fpvuln,Unoc,FullincDeciles,EqAHCincDeciles,FPEER,FPEERband,sap12,EPC,gorEHS,Ongas,tenure4x,DWtype,dwage9x,FloorArea,CentralHeating,Mainfueltype,WallType,Loftins,boiler,hhcompx,emphrp3x,ethhrp2x,Ageyng,Ageold,hhsize,hhsick,CERTpriority,WFG_preApr11,WFG_postApr11,WFG_Sept12,ECO_AW,aagph1314
0,L1000106,0,3,0,0,3417,14157.04225,1.42,1.33,1.07,24528,23520,1161.86,160.83,417.61,535.19,48.23,3,3,0,0,0,0,5,3,74.05,1,74.05,1,1,1,4,2,6,3,1,1,1,2,5,4,1,1,2,3,3,0,1,0,0,0,2,574
1,L1000107,0,2,0,0,3750,13383.33333,0.78,0.87,1,13945,14189,1027.78,131.08,420.03,434.49,42.18,3,3,0,0,1,0,2,3,75.25,1,75.25,1,1,1,4,2,6,3,1,1,1,2,5,4,1,1,1,2,2,1,1,0,0,0,2,342
2,L1000109,0,3,0,0,0,27883,1,1,1,29060,27883,1236.82,119.95,630.27,447.93,38.67,1,1,0,0,1,0,6,7,68.1,2,68.1,2,1,1,1,3,7,4,1,1,1,2,5,2,1,1,4,5,2,0,1,0,0,0,3,3620
3,L1000110,0,2,0,0,3120,12576,1,1,1,12576,15696,1122.6,131.8,634.81,313.67,42.32,2,2,0,0,1,0,3,3,75.44,1,70.4,1,1,1,4,2,3,3,1,1,1,2,5,2,3,1,4,5,2,0,1,0,0,0,4,324
4,L1000112,0,3,0,0,9000,34131,1,1,1,44644,43131,1054.66,120.7,428.74,466.55,38.67,1,1,0,0,0,1,9,8,72.9,1,72.9,1,1,1,1,4,9,4,1,1,1,2,5,1,1,1,3,3,2,0,0,0,0,0,3,3373
5,L1000116,0,3,0,0,2860,16005.17241,0.58,0.67,0.82,9283,12143,793.9,97.66,407.96,255.17,33.11,1,1,0,0,1,0,2,4,68.94,1,68.94,1,1,1,4,2,6,1,1,1,1,2,5,7,3,1,5,6,1,0,1,0,0,0,4,706
6,L1000117,0,3,0,0,3000,22964,1,1,1,26972,25964,1004.03,265.13,400.01,288.84,50.05,1,88,0,0,0,0,6,6,51.89,3,51.89,3,1,0,1,5,6,1,2,2,1,3,-9,1,1,1,3,3,2,0,0,0,0,0,3,3507
7,L1000122,0,4,0,0,3200,21396,1,1,1,25604,24596,1287.14,176.3,655.39,413.27,42.18,3,3,0,0,0,0,5,6,58.16,2,58.16,2,1,1,4,3,4,2,1,1,1,2,2,1,1,1,3,3,2,0,0,0,0,0,4,419
8,L1000125,0,3,0,0,5040,19502.8169,1.42,1.33,1.07,33742,32734,1185.5,147.86,501.56,491.86,44.22,1,1,0,0,1,0,7,5,72.15,1,72.15,1,1,1,4,2,6,3,1,1,1,2,5,3,1,1,1,2,3,0,0,0,0,0,4,1701
9,L1001804,0,4,0,0,0,23391,1,1,1,24702,23391,1359.93,96.98,740.1,484.18,38.67,1,1,0,0,1,0,5,6,64.32,2,64.32,2,1,1,1,3,6,3,1,1,1,2,5,2,3,1,4,5,2,1,0,0,0,0,3,1941
10,L1001810,0,4,0,0,0,34181,1,1,1,35492,34181,1290.77,117.77,709.06,425.27,38.67,1,1,0,0,1,0,7,8,56.86,2,56.86,2,1,1,1,3,5,2,1,1,1,2,3,2,3,1,4,5,2,1,0,0,0,0,3,1940
11,L1001814,0,3,0,0,9000,28834.48276,0.58,0.67,0.82,26847,25724,778.33,100.21,285.62,359.39,33.11,1,1,0,0,0,1,6,8,77.08,1,77.08,1,1,1,1,3,9,3,1,1,1,2,5,6,1,1,3,2,1,0,0,0,0,0,3,1654
12,L1002508,0,3,0,0,4420,14098,1,1,1,19614,18518,1055.51,120.85,491,404.99,38.67,1,1,0,0,0,0,4,3,65.91,2,65.9,2,1,1,4,5,7,2,1,1,2,3,5,1,1,1,3,3,2,0,0,0,0,0,4,1291
13,L1002511,0,3,0,0,3120,14394.82759,0.58,0.67,0.82,12565,11469,978.03,105.86,544.13,291.93,36.11,3,3,0,0,1,0,2,3,65.32,2,65.32,2,1,1,4,2,5,1,1,1,1,2,5,7,3,1,4,5,1,0,0,0,0,0,4,766
14,L1002512,0,2,0,0,3900,5615.517241,0.58,0.67,0.82,3380,7157,969.77,105.87,542.16,285.63,36.11,3,3,1,1,0,0,1,1,67.75,2,67.75,2,1,1,4,1,5,2,1,1,1,1,5,6,2,1,3,4,1,0,1,0,0,0,4,462
15,L1002513,0,2,0,0,5148,10533.57143,1.4,1.4,1.21,14870,19895,1379.73,217.48,530.1,577.86,54.29,3,3,0,0,1,0,4,2,66.39,2,66.39,2,1,1,4,3,5,3,1,1,1,2,3,4,2,1,1,3,4,1,1,0,0,0,2,258
16,L1002516,1,1,117.37,117.37,4472,13572,1,1,1,15928,18044,1383.71,120.16,725.57,496.98,41,3,1,0,0,1,0,4,3,68.43,2,68.43,2,1,1,4,3,5,5,1,1,1,2,5,4,1,1,1,3,2,1,1,0,0,0,2,392
17,L1002517,0,4,0,0,4472,21248,1,1,1,22318,25720,1428.7,325.5,665.58,395.44,42.18,3,3,0,0,1,0,6,6,56.38,2,56.38,2,1,1,4,3,5,2,1,1,1,2,2,1,2,1,3,3,2,1,1,0,0,0,4,690
18,L1002527,0,4,0,0,0,39174.13793,0.58,0.67,0.82,23680,22721,1272.72,255.26,687.49,296.86,33.11,1,1,0,0,0,0,5,9,51.7,3,51.7,3,1,1,1,3,8,2,1,1,1,2,1,6,1,1,3,4,1,0,0,0,0,0,3,2316
19,L1002530,0,4,0,0,0,25128,1,1,1,25950,25128,1319.89,223.81,601.43,452.33,42.32,2,2,0,0,1,0,6,7,64.1,2,64.09,2,1,1,1,2,5,3,1,1,1,2,1,2,3,1,4,6,2,1,1,0,0,0,3,2389
20,L1002532,0,2,0,0,0,12637.93103,0.58,0.67,0.82,8152,7330,1035.91,120.78,521.78,357.11,36.24,2,2,1,1,1,1,1,3,67.11,2,67.1,2,1,1,1,2,6,3,1,1,1,2,3,7,3,1,5,6,1,1,1,1,0,0,1,2062
21,L1004607,0,3,0,0,3675,19827.58621,0.58,0.67,0.82,11500,15175,753,109.7,479.31,130.88,33.11,1,1,0,0,1,0,3,5,74.7,1,68.01,2,1,1,4,4,6,2,1,1,1,2,3,7,3,1,5,6,1,1,1,0,0,0,2,721
22,L1004611,0,2,0,0,3400,11125,1,1,1,12636,14525,1211.2,149.53,639.69,383.53,38.45,2,2,0,0,1,0,2,2,67.88,2,67.88,2,1,1,4,2,5,3,1,1,1,2,3,1,3,1,3,4,2,1,1,0,0,0,2,407
23,L1004612,0,2,0,0,3332,11862.06897,0.58,0.67,0.82,6880,10212,855.51,106.59,416.9,295.78,36.24,2,2,1,0,1,0,1,2,70.98,1,70.98,1,1,1,4,2,5,2,1,1,1,2,5,6,3,1,3,3,1,1,1,0,0,0,2,407
24,L1004621,0,4,0,0,0,17502.11268,1.42,1.33,1.07,26282,24853,2932.65,362.21,1767.27,740.51,62.66,2,88,1,1,1,1,6,4,34.74,4,34.74,4,1,0,1,4,5,5,1,3,1,2,1,2,1,1,3,5,3,0,1,1,0,1,1,2705
25,L1004625,0,3,0,0,4728,16467.14286,1.4,1.4,1.21,28854,27782,1217.24,181.12,461.02,525.32,49.78,1,1,0,0,1,0,6,4,69.91,1,69.91,1,1,1,1,2,5,3,1,1,2,1,5,3,1,1,1,2,4,0,0,0,0,0,3,4263
26,L1007502,0,3,0,0,0,23172,1,1,1,24140,23172,1175.12,170.5,557.75,404.55,42.32,2,2,0,0,1,0,5,6,62.6,2,62.6,2,1,1,1,2,8,2,1,1,2,2,3,1,1,1,3,5,2,1,0,0,0,0,3,2398
27,L1007505,0,3,0,0,3750,13653.57143,1.4,1.4,1.21,23833,22865,1327.94,191.66,511.35,570.64,54.29,3,3,0,0,1,0,5,3,70.57,1,70.57,1,1,1,3,1,6,3,1,1,3,2,5,3,3,1,1,2,4,0,0,0,0,0,4,431
28,L1007511,0,2,0,0,3900,7803.333333,1.2,1.2,1.07,14232,13264,1247.39,146.76,550.86,505.55,44.22,1,1,0,0,1,0,2,1,69.26,1,69.26,1,1,1,3,1,5,3,1,1,1,2,5,3,1,1,1,2,3,0,1,0,0,0,2,880
29,L1007512,0,4,0,0,0,19365.51724,0.58,0.67,0.82,11958,11232,1093.93,210.06,483.03,353.85,46.99,2,88,0,0,0,1,1,5,49.29,3,49.29,3,1,0,1,2,5,3,1,3,1,1,2,6,1,1,3,4,1,0,0,0,0,0,3,2411
30,L1007514,0,3,0,0,3264,19827.58621,0.58,0.67,0.82,11500,14764,668.72,97.73,374.23,163.65,33.11,1,1,0,0,1,1,3,5,77.79,1,71.84,1,1,1,3,2,5,2,1,1,1,2,5,7,3,1,5,6,1,0,1,0,0,0,2,854
31,L1007517,0,3,0,0,3640,18945,1,1,1,18945,22585,1258.57,202.09,647.26,366.9,42.32,2,2,0,0,1,0,5,5,59.61,2,59.61,2,1,1,3,3,5,2,1,1,1,2,2,2,3,1,5,6,2,1,1,0,0,0,2,857
32,L1007518,0,3,0,0,4080,13718.96552,0.58,0.67,0.82,7957,12037,1025.5,214.01,635.62,142.76,33.11,1,1,1,0,1,0,2,3,61.22,2,54.6,2,1,1,3,3,5,2,1,1,1,2,2,7,3,1,5,6,1,1,1,0,0,0,2,656
33,L1007522,0,3,0,0,0,18241.37931,0.58,0.67,0.82,11306,10580,946.95,110.51,491.18,312.15,33.11,1,1,0,0,1,1,1,5,68.01,2,68.01,2,1,1,1,3,5,3,1,1,3,2,3,7,3,1,4,5,1,1,1,1,0,0,1,1257
34,L1007524,0,4,0,0,3433.846154,18397.00855,1.62,1.53,1.21,34205,33237,1547.21,315.15,657.34,524.94,49.78,1,1,0,0,1,0,7,5,55.07,2,55.07,2,1,1,3,1,5,3,1,1,1,2,2,3,1,1,1,3,4,1,0,0,0,0,4,513
35,L1007526,0,3,0,0,0,14105,1,1,1,14831,14105,998.64,115.59,453.95,390.43,38.67,1,1,0,0,1,0,2,3,69.57,1,69.57,1,1,1,1,2,6,2,1,1,1,2,5,4,1,1,1,4,2,1,1,1,0,0,1,998
36,L1007529,1,1,29.44030303,38.8612,3888,11101.5,2,2,1.32,27059,26091,1710.43,320.99,536.17,780.8,72.47,3,3,0,0,1,0,6,2,67.9,2,67.9,2,1,1,3,2,5,3,1,1,1,2,3,3,1,1,1,3,5,0,1,0,0,0,4,288
37,L1007704,0,2,0,0,4368,9365.217391,1.84,1.66,1.21,22608,21600,1388.81,97.29,575.99,665.75,49.78,1,1,0,0,0,0,5,2,66.82,2,66.82,2,1,1,4,3,5,4,1,1,1,2,5,1,1,1,2,3,4,0,0,0,0,0,4,933
38,L1007705,0,3,0,0,3774,17483.09859,1.42,1.33,1.07,29608,28600,1104.98,92.85,404.32,563.59,44.22,1,1,0,0,0,0,6,4,75.15,1,75.15,1,1,1,4,3,9,3,1,1,1,2,5,1,1,1,2,3,3,0,0,0,0,0,4,606
39,L1007706,1,1,332.66,272.7812,0,7231.034483,0.58,0.67,0.82,4950,4194,1311.18,188.49,670.07,416.38,36.24,2,2,1,1,0,1,1,1,53.24,3,53.24,3,1,1,1,2,3,3,1,1,1,2,1,6,3,1,3,4,1,0,0,0,0,0,3,2868
40,L1007709,0,3,0,0,3900,15874.13793,0.58,0.67,0.82,11500,13107,1036.38,109.09,508.8,382.25,36.24,2,2,0,0,1,1,2,4,64.69,2,64.69,2,1,1,4,3,5,2,1,1,1,2,5,7,3,1,5,6,1,0,1,0,0,0,4,975
41,L1007710,1,1,5.155867769,6.2386,5100,9179.012346,1.62,1.53,1.21,14870,19970,1538.51,197.76,693.88,597.09,49.78,1,1,1,0,1,0,4,2,65.66,2,65.66,2,1,1,2,2,3,4,1,1,1,1,3,4,2,1,1,3,4,1,1,1,0,0,1,1052
42,L1007711,0,2,0,0,4740,11869.38776,0.98,1.07,1.07,11632,16372,1293.33,103.55,548.79,592.76,48.23,3,3,1,0,1,0,3,2,70.39,1,70.39,1,1,1,2,3,4,3,1,1,1,2,5,4,3,1,1,2,3,0,1,1,0,0,1,554
43,L1007721,0,4,0,0,3456,17453,1,1,1,21917,20909,1305.53,236.71,646.4,383.75,38.67,1,1,0,0,1,0,4,4,54.09,3,54.09,3,1,1,4,3,5,2,1,1,1,2,2,2,3,1,5,6,2,1,1,0,0,0,4,481
44,L1010503,0,4,0,0,672,31721,1,1,1,33393,32393,1573.51,100.14,882.14,549.27,41.96,2,3,0,0,0,0,7,8,57.54,2,57.54,2,2,1,1,2,4,3,1,1,3,2,5,1,1,1,3,4,2,0,0,0,0,0,3,895
45,L1010504,0,3,0,0,6708,25960.34483,0.58,0.67,0.82,15057,21765,696.17,106.47,270.44,273.08,46.18,2,88,0,0,1,0,5,7,74.65,1,74.65,1,2,0,4,5,8,1,1,3,1,2,-9,7,3,1,5,6,1,1,1,0,0,0,4,955
46,L1010505,0,4,0,0,4620,23884,1,1,1,29504,28504,1484.93,210.97,685.13,546.51,42.32,3,3,0,0,1,0,6,6,59.98,2,59.98,2,2,1,4,3,9,3,1,1,1,2,1,1,1,1,3,4,2,1,0,0,0,0,4,1053
47,L1010506,1,1,62.08990654,66.4362,4980,11678.16901,1.42,1.33,1.07,16695,21563,1421.42,103.11,640.94,628.97,48.4,3,3,0,0,1,0,5,2,64.74,2,64.74,2,2,1,2,2,4,3,1,1,3,2,5,3,3,1,1,4,3,1,1,1,0,0,1,676
48,L1010510,0,4,0,0,0,14743.10345,0.58,0.67,0.82,9884,8551,1099.01,110.46,604.87,350.41,33.27,1,1,1,1,1,1,1,3,58.02,2,58.02,2,2,1,2,3,4,4,1,1,1,1,3,7,3,1,5,6,1,1,1,0,0,1,1,3289
49,L1010511,1,1,361.9964486,387.3362,6000,10965.30612,0.98,1.07,1.07,11458,16746,1742.32,94.72,917.55,685.61,44.44,1,1,1,1,1,0,3,2,61.87,2,61.87,2,2,1,2,1,8,5,1,1,2,1,5,4,3,1,1,3,3,1,1,1,0,0,1,2700
50,L1010516,0,3,0,0,4940,18334.48276,0.58,0.67,0.82,10634,15574,537.52,85.07,267.5,141.95,43,1,88,0,0,1,0,3,5,82.22,1,74.29,1,2,0,4,5,8,1,1,3,1,1,-9,7,3,1,4,5,1,1,1,0,0,0,4,480
51,L1011101,0,2,0,0,4420,10415.51724,0.58,0.67,0.82,6041,10461,851.08,111.88,420.15,283.06,35.99,2,2,1,0,1,1,1,2,74.93,1,69.66,1,2,1,4,3,5,3,1,1,3,2,5,7,3,1,5,6,1,0,1,0,0,0,2,861
52,L1011112,1,1,1149.248785,1229.6962,45600,3788.028169,1.42,1.33,1.07,53510,50979,2584.68,357.29,1428.89,741.16,57.34,1,88,0,0,1,1,9,1,41.62,3,41.62,3,2,0,1,4,8,5,1,3,1,1,1,2,3,1,2,6,3,0,1,0,0,0,3,5034
53,L1011113,0,4,0,0,7200,20931.66667,1.2,1.2,1.07,33625,32318,2063.08,203.21,1148.42,654.11,57.34,1,88,0,0,1,0,7,6,44.53,3,44.53,3,2,0,2,3,5,4,1,3,2,2,1,3,1,1,1,2,3,0,0,0,0,0,3,1235
54,L1011118,0,2,0,0,4320,11438,1,1,1,14363,15758,1076.62,132.66,473.24,428.4,42.32,3,3,0,0,1,0,3,2,71.06,1,71.06,1,2,1,4,3,5,3,1,1,1,2,5,2,3,1,4,5,2,1,1,0,0,0,4,358
55,L1011119,0,2,0,0,4992,11065,1.4,1.4,1.21,20029,20483,1253.26,176.6,406.05,617.72,52.89,3,1,0,0,1,0,4,2,75.16,1,75.16,1,2,1,4,2,5,4,1,1,3,2,5,3,1,1,1,2,4,1,1,0,0,0,2,394
56,L1011120,0,2,0,0,4650,12385.625,1.6,1.6,1.32,19817,24467,1511.77,116.51,498.25,836.45,60.56,3,3,0,0,1,0,5,3,70.37,1,70.37,1,2,1,4,1,5,3,1,1,1,2,5,3,3,1,1,3,5,1,1,0,0,0,2,436
57,L1011122,0,3,0,0,4788,18054,1,1,1,24023,22842,1055.3,133.35,468.86,410.77,42.32,3,3,0,0,1,0,5,5,70.89,1,70.89,1,2,1,4,3,9,2,1,1,1,2,5,1,1,1,3,4,2,1,0,0,0,0,4,1030
58,L1011123,1,1,279.0160606,368.3012,11063.04412,11261.84743,1.6,1.6,1.32,30432,29082,2039.87,221.99,951.86,805.88,60.14,2,2,0,0,1,0,6,2,62.96,2,62.96,2,2,1,1,3,4,5,1,1,2,2,5,3,1,1,1,3,5,0,0,0,0,0,3,3254
59,L1011124,0,2,0,0,4080,10579.8913,1.84,1.66,1.21,20327,23547,1346.25,106.97,454.73,730.07,54.48,3,3,0,0,0,0,5,2,71.86,1,71.86,1,2,1,4,3,5,3,1,1,1,2,5,5,1,1,2,3,4,0,1,0,0,0,2,1078
60,L1011601,0,2,0,0,3024,11137.93103,0.58,0.67,0.82,10243,9484,867.51,98.07,386.35,349.82,33.27,1,1,0,0,0,1,1,2,70.33,1,70.33,1,2,1,1,3,5,3,1,1,1,2,5,6,1,1,3,2,1,0,0,0,0,0,3,1549
61,L1011605,0,3,0,0,4680,16060,1,1,1,16060,20740,971.59,100.36,459.53,369.38,42.32,3,3,0,0,1,0,4,4,76.7,1,70.76,1,2,1,4,2,5,2,1,1,2,2,5,2,3,1,3,5,2,1,1,0,0,0,4,388
62,L1011607,0,2,0,0,4836,10119.23077,0.78,0.87,1,8045,12729,999.16,100.68,336.41,519.75,42.32,3,3,1,0,1,0,2,2,74.8,1,74.8,1,2,1,4,2,9,2,1,1,1,2,5,4,3,1,1,1,2,0,1,0,0,0,2,512
63,L1011608,0,3,0,0,0,15420.68966,0.58,0.67,0.82,8944,8944,984.26,109.91,529.27,308.84,36.24,3,3,1,1,1,1,1,4,74.24,1,69.52,1,2,1,1,2,6,4,1,1,3,1,5,7,3,1,4,5,1,0,1,1,0,0,1,974
64,L1011611,0,4,0,0,0,20524,1,1,1,21536,20524,1383.06,325.53,530.48,488.2,38.85,1,1,0,0,1,0,4,5,57.13,2,57.12,2,2,1,1,2,5,3,1,1,1,2,2,5,3,1,3,6,2,0,1,1,0,0,3,3074
65,L1011612,0,3,0,0,4900,16909.15493,1.42,1.33,1.07,24011,28911,1107.74,101.45,474.01,483.88,48.4,3,3,0,0,1,0,6,4,77.68,1,72.4,1,2,1,4,2,6,3,1,1,1,1,5,5,3,1,3,6,3,1,1,0,0,0,4,586
66,L1011613,0,2,0,0,4992,5840.84507,1.42,1.33,1.07,9308,13286,1234.41,92.91,472.57,621.94,46.99,3,1,1,0,1,0,2,1,71.09,1,71.09,1,2,1,4,2,5,3,1,1,1,2,5,1,3,1,2,4,3,1,1,0,0,0,2,560
67,L1011621,0,3,0,0,4056,19655.17241,0.58,0.67,0.82,11400,15456,885.89,109.8,388.67,351.18,36.24,3,3,0,0,1,0,3,5,69.02,1,69.02,1,2,1,4,5,8,1,1,1,2,3,5,7,3,1,4,5,1,1,1,0,0,0,2,501
68,L1015502,0,4,0,0,0,21655.6338,1.42,1.33,1.07,31528,30751,1422.41,148.28,727.91,501.78,44.44,1,1,0,0,1,0,7,6,62.19,2,62.19,2,2,1,1,1,4,3,1,1,2,2,5,2,3,1,2,6,3,1,1,0,0,0,3,936
69,L1015504,0,2,0,0,5096,5379.310345,0.58,0.67,0.82,3744,8216,948.99,107.38,456.49,348.88,36.24,3,3,1,1,0,1,1,1,66.28,2,66.28,2,2,1,4,1,5,3,1,1,1,2,5,6,2,1,3,3,1,0,1,0,0,0,4,445
