,serialanon,fpLIHCflg,fpLIHCqdt,fpLIHCgapEQ,fpLIHCgapUNEQ,HousingCosts,AHCIncomeEQ,AHCeqFactor,BHCeqFactor,FuelCosteqFactor,fpbasinc,fpfullinc,fuelexpn,wathcost,spahcost,litecost,cookcost,elecmop,gasmop,fpflgb,fpflgf,fpvuln,Unoc,FullincDeciles,EqAHCincDeciles,FPEERrating,FPEERband,sap12,EPC,gorEHS,Ongas,tenure4x,DWtype,DWage,FloorArea,CentralHeating,Mainfueltype,WallType,Loftins,boiler,hhcompx,emphrp3x,ethhrp2x,Ageyng,Ageold,hhsize,hhsick,CERTpriority,WFG_preApr11,WFG_postApr11,WFG_Sept12,ECO_AW,aagph1415
0,14150010002,0,2,0,0,5460,13965.51724,0.58,0.67,0.82,8100,13560,990.99,174.16,413.71,365.5,37.62,3,3,1,0,1,1,2,3,72.61,1,72.2,1,8,1,4,2,9,4,1,1,2,2,1,7,3,1,7,6,1,1,1,0,0,0,2,1248
1,14150010009,0,4,0,0,0,15926.42857,1.4,1.4,1.21,23713,22297,2041.3,107.65,1110.79,769.96,52.9,1,1,0,0,1,0,5,4,50.33,3,49.91,3,2,1,1,3,3,4,1,1,3,2,3,3,1,1,2,3,4,0,0,0,0,0,3,1600
2,14150010010,0,3,0,0,4464,16175.64103,0.78,0.87,1,16031,17081,892.12,133.39,259.92,448.64,50.17,1,88,0,0,1,0,3,4,76.23,1,75.75,1,5,0,4,2,9,3,1,2,5,2,-9,4,1,1,2,3,2,0,1,0,0,0,2,718
3,14150010011,0,4,0,0,4056,21010,1.4,1.4,1.21,34113,33470,1557.41,93.93,751.25,660.39,51.84,1,1,0,0,1,0,7,6,62.89,2,62.44,2,4,1,3,1,5,3,1,1,1,2,5,4,1,1,1,2,4,0,1,0,0,0,4,415
4,14150010012,0,4,0,0,14400,31640,1,1,1,47469,46040,1969.23,66.55,1230.24,633.21,39.23,1,1,0,0,1,1,9,8,51.27,3,51,3,5,1,1,1,1,5,1,1,3,1,3,2,1,1,6,5,2,0,0,0,0,0,3,1802
5,14150010018,0,4,0,0,4440,16200,0.58,0.67,0.82,15044,13836,1015.95,130.2,602.11,246.14,37.5,2,3,0,0,0,0,2,4,41.12,3,40.62,3,8,1,2,2,4,2,1,1,1,1,3,6,1,2,5,2,1,0,0,0,0,0,3,4499
6,14150010021,0,3,0,0,11400,20830,1,1,1,33717,32230,1037.45,172.17,404.69,418.28,42.31,2,2,0,0,0,0,7,6,68.83,1,68.29,2,7,1,2,3,9,2,1,1,2,2,1,1,1,1,5,2,2,0,0,0,0,0,3,1107
7,14150010024,0,3,0,0,4628,35887.93103,0.58,0.67,0.82,20815,25443,756.1,42.55,363.39,314.97,35.19,1,1,0,0,1,0,5,9,66.25,2,65.53,2,2,1,4,1,7,1,1,1,1,2,5,7,3,1,6,5,1,1,1,0,0,0,4,689
8,14150010025,0,4,0,0,3306.581465,43321.18211,1.2,1.2,1.07,56753,55292,1537.21,157.95,717.12,614.37,47.77,1,1,0,0,1,0,9,9,67.5,2,67.15,2,10,1,1,3,4,5,1,1,2,2,5,3,1,1,3,3,3,1,0,0,0,0,3,2076
9,14150010027,1,1,266.1928037,284.8263,5304,13116.66667,1.2,1.2,1.07,16468,21044,1607.25,90.64,825.64,639.9,51.07,3,3,0,0,1,0,4,3,59.13,2,58.65,2,10,1,3,3,4,3,1,1,1,2,5,3,3,1,1,4,3,1,1,0,0,0,2,694
