,serialanon,fpLIHCflg,fpLIHCqdt,fpLIHCgapEQ,fpLIHCgapUNEQ,HousingCosts,AHCIncomeEQ,FuelCosteqFactor,fpbasinc,fpfullinc,fuelexpn,wathcost,spahcost,litecost,cookcost,elecmop,gasmop,fpflgb,fpflgf,fpvuln,Unoc,FullincDeciles,EqAHCincDeciles,FPEERrating,FPEERband,sap12,EPC,gorEHS,Ongas,tenure4x,DWtype,DWage,FloorArea,CentralHeating,Mainfueltype,WallType,Loftins,boiler,hhcompx,emphrp3x,ethhrp2x,Ageyng,Ageold,hhsize,hhsick,CERTpriority,WFG_preApr11,WFG_postApr11,WFG_Sept12,ECO_AW,aagph1516
0,15160010001,0,4,0,0,7476,31376,1,39931,38852,1388.75,121.52,702.03,526.74,38.46,1,1,0,0,0,1,8,8,66.32,2,65.78,2,4,1,1,3,6,5,1,1,1,2,5,1,1,1,5,2,2,0,0,0,0,0,3,1151
1,15160010005,0,2,0,0,10200,10347.4359,1,8187,18271,1053.63,237.68,260.78,489.33,65.84,2,2,1,0,1,0,3,2,65.6,2,67.26,2,7,0,2,5,6,1,2,2,2,2,-9,4,3,1,1,2,2,0,1,1,0,0,1,982
2,15160010007,0,2,0,0,10320,8315,1.32,18926,23624,1078.57,256.93,250.12,515.09,56.43,1,3,0,0,1,0,5,1,75.53,1,74.62,1,5,1,2,5,6,2,1,1,3,3,3,3,1,1,1,4,5,1,1,1,0,0,1,943
3,15160010010,0,3,0,0,5296.153846,33459.84615,1,39904,38756,1072.52,120.38,542.41,360.22,49.51,1,88,0,0,1,0,8,8,55.81,2,54.5,2,5,0,4,3,6,2,1,3,1,1,5,2,3,1,6,5,2,1,1,0,0,0,4,455
4,15160010011,0,2,0,0,7140,9974,1,17987,17114,1139.03,227.69,450.9,421.58,38.86,1,1,0,0,0,0,3,2,60.04,2,59.47,2,6,1,2,1,8,2,1,1,1,1,1,1,3,1,5,2,2,0,0,0,0,0,3,1495
5,15160010016,0,4,0,0,0,30068.96552,0.82,18235,17440,1171.16,110.49,643.16,382.32,35.19,2,2,0,0,0,1,3,8,60.99,2,58.67,2,5,1,1,2,3,4,1,1,3,2,3,6,1,1,5,4,1,0,0,0,0,0,3,2028
6,15160010017,0,4,0,0,0,15640,1,17009,15640,1263.22,155.75,677.32,392.06,38.09,1,1,0,0,1,0,3,3,62.67,2,62.21,2,5,1,1,4,9,3,1,1,1,2,1,1,3,1,5,5,2,1,0,0,0,0,3,3666
7,15160010018,0,3,0,0,0,36971,1,38729,36971,1138.12,124.36,521.42,452.95,39.39,1,1,0,0,1,1,7,9,64.21,2,62.16,2,8,1,1,2,4,4,1,1,3,1,5,2,1,1,6,5,2,1,0,0,0,0,3,1235
8,15160010019,0,2,0,0,4004,12434,1,16632,16438,968.73,132.12,452.29,341.38,42.94,2,2,0,0,1,0,3,3,67.38,2,67.68,2,4,1,4,3,6,1,1,1,2,2,5,5,3,1,5,5,2,1,1,0,0,0,4,689
9,15160010025,1,1,146.9045455,146.9045455,0,10808,1,12259,10808,1323.45,127.95,881.38,275.73,38.39,1,1,1,1,1,0,1,2,63.56,2,57.71,2,7,1,1,4,6,4,1,1,1,1,5,2,3,1,7,6,2,0,1,0,0,0,3,2797
