,serialanon,fpLIHCflg,fpLIHCqdt,fpLIHCgapEQ,fpLIHCgapUNEQ,HousingCosts,AHCIncomeEQ,FuelCosteqFactor,fpbasinc,fpfullinc,fuelexpn,wathcost,spahcost,litecost,cookcost,elecmop,gasmop,fpflgb,fpflgf,fpvuln,Unoc,FullincDeciles,EqAHCincDeciles,FPEERrating,FPEERband,sap12,EPC,gorehs,Ongas,tenure4x,DWtype,DWage,FloorArea,CentralHeating,Mainfueltype,WallType,Loftins,boiler,hhcompx,emphrp3x,ethhrp2x,Ageyng,Ageold,hhsize,hhsick,HTHG,WHDBroad,ECO_AW,aagph1718
0,17180000004,0,4,0,0,5000,16474.35897,1,18781,17850,1238.33,127.17,578.65,489.91,42.6,2,2,0,0,1,0,3,4,64.76,2,64.2,2,7,1,4,1,7,3,1,1,1,1,4,4,1,1,3,3,2,0,0,0,2,1127
1,17180000008,0,2,0,0,6600,10844,1,18279,17444,744.37,173.58,123.55,394.41,52.83,1,1,0,0,0,0,3,2,75.05,1,75.05,1,4,0,2,5,9,1,3,2,2,3,-9,1,1,2,4,2,2,0,0,0,3,5740
2,17180000014,0,3,0,0,7200,32452,1,40989,39652,1133.07,133.1,276.12,649.37,74.48,2,2,0,0,0,0,8,8,76.06,1,76.06,1,4,0,2,5,9,2,2,2,2,2,-9,1,1,1,4,1,2,0,0,0,3,943
3,17180000020,0,2,0,0,10400,5792.5,1.32,13914,19668,1000.32,200.86,183.36,560.67,55.43,3,3,0,0,1,0,4,1,73.16,1,72.99,1,7,1,4,2,4,2,1,1,4,2,4,3,3,1,1,2,5,1,0,0,2,473
4,17180000021,0,3,0,0,6240,22052.14286,1.21,32325,37113,1150.18,179.41,283.6,634.08,53.09,1,1,0,0,1,0,7,5,73.97,1,73.97,1,10,1,4,3,9,3,1,1,5,2,4,3,1,1,1,2,4,1,0,0,2,957
5,17180000032,1,1,619.8536585,508.28,0,4805.172414,0.82,3796,2787,1477.04,85.44,957.71,400.78,33.11,3,1,1,1,1,1,1,1,39.36,3,37.95,4,8,1,1,2,3,4,1,1,3,3,5,6,2,1,5,4,1,1,1,1,1,9557
6,17180000034,0,3,0,0,0,15826,1,17162,15826,1125.13,86.3,428.19,569.4,41.24,1,1,0,0,1,0,2,3,68.13,2,68.13,2,10,1,1,3,8,3,1,1,3,2,4,2,3,1,6,5,2,1,0,0,3,1811
7,17180000035,0,3,0,0,0,41898.27586,0.82,25586,24301,806.85,33.51,331.34,409.33,32.67,1,1,0,0,0,1,5,9,76.62,1,76.62,1,4,1,1,1,9,4,1,1,2,2,5,6,1,1,5,4,1,0,0,0,3,1106
8,17180000037,0,3,0,0,4680,23444.82759,0.82,13720,18278,936.43,174.64,407.62,290.6,63.57,2,88,0,0,1,0,3,6,65.63,2,65.63,2,2,0,4,5,7,1,2,2,1,2,-9,6,3,1,5,4,1,1,0,1,2,452
9,17180000045,0,4,0,0,0,18138,1,19624,18138,1389.52,87.81,663.6,595.01,43.1,2,2,0,0,1,0,3,4,64.24,2,65.44,2,1,1,1,3,6,3,1,1,2,2,4,2,3,1,6,5,2,0,0,0,3,2983
